generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,2,4,1
3000,1,4,1
4000,1,2,1
5000,1,4,1
6000,3,4,1
7000,3,4,1
8000,2,3,1
9000,2,4,1
10000,2,4,1
11000,1,3,1
12000,3,4,1
13000,3,4,1
14000,1,3,1
15000,1,3,1
16000,2,3,1
17000,1,2,1
18000,1,2,1
19000,2,4,1
20000,1,3,1
21000,2,4,1
22000,1,4,1
23000,1,4,1
24000,1,3,1
25000,1,2,1
26000,2,4,1
27000,1,4,1
28000,2,3,1
29000,1,3,1
30000,1,2,1
31000,1,3,1
32000,1,3,1
33000,2,3,1
34000,1,4,0
35000,2,4,1
36000,1,4,1
37000,2,3,0
38000,3,4,1
39000,2,4,1
40000,2,3,1
41000,3,4,1
42000,1,4,1
43000,2,4,0
44000,2,4,1
45000,1,4,1
46000,1,3,1
47000,2,4,1
48000,1,3,1
49000,1,3,1
50000,1,2,1
51000,3,4,1
52000,2,3,1
53000,1,2,1
54000,2,4,1
55000,1,4,1
56000,1,2,1
57000,3,4,1
58000,1,4,0
59000,3,4,1
60000,1,3,1
61000,1,3,1
62000,1,4,0
63000,2,4,1
64000,3,4,1
65000,2,3,1
66000,1,2,1
67000,2,3,1
68000,3,4,0
69000,3,4,1
70000,2,3,1
71000,3,4,1
72000,2,3,1
73000,3,4,1
74000,1,3,1
75000,1,2,1
76000,3,4,1
77000,3,4,1
78000,1,4,1
79000,1,3,1
80000,3,4,1
81000,1,3,1
82000,2,4,1
83000,3,4,1
84000,2,4,1
85000,1,3,0
86000,1,3,1
87000,2,3,1
88000,3,4,1
89000,1,3,1
90000,2,4,1
91000,3,4,1
92000,1,2,1
93000,3,4,1
94000,3,4,1
95000,1,2,1
96000,1,3,1
97000,2,3,1
98000,1,2,0
99000,2,3,1
100000,1,4,1
101000,2,4,1
102000,2,3,1
103000,3,4,1
104000,1,2,1
105000,2,3,1
106000,2,4,1
107000,1,4,1
108000,2,4,1
109000,1,3,1
110000,1,2,1
111000,2,3,1
112000,1,4,1
113000,3,4,1
114000,3,4,1
115000,2,3,1
116000,3,4,1
117000,3,4,1
118000,2,4,1
119000,2,3,1
120000,2,4,1
121000,1,3,1
122000,3,4,1
123000,2,3,1
124000,3,4,1
125000,1,3,1
126000,1,3,1
127000,1,2,1
128000,3,4,1
129000,3,4,1
130000,1,2,0
131000,1,3,1
132000,1,3,1
133000,1,4,1
134000,1,4,1
135000,1,4,1
136000,1,3,1
137000,3,4,1
138000,3,4,1
139000,1,4,0
140000,1,4,1
141000,3,4,1
142000,1,2,1
143000,2,4,1
144000,1,2,1
145000,1,3,1
146000,1,2,1
147000,3,4,1
148000,2,3,1
149000,3,4,0
150000,2,3,1
151000,1,3,1
152000,1,2,1
153000,1,3,0
154000,2,4,1
155000,1,4,1
156000,2,4,1
157000,1,3,1
158000,1,2,1
159000,3,4,1
160000,1,4,1
161000,2,4,1
162000,2,3,1
163000,1,3,1
164000,2,3,1
165000,1,2,1
166000,1,3,1
167000,3,4,1
168000,2,4,1
169000,1,4,1
170000,2,4,1
171000,1,4,1
172000,3,4,1
173000,2,4,1
174000,2,3,1
175000,1,2,1
176000,1,2,1
177000,2,3,1
178000,2,4,0
179000,2,4,1
180000,1,3,1
181000,1,2,1
182000,1,2,1
183000,1,3,1
184000,2,4,1
185000,2,4,1
186000,1,3,1
187000,1,3,1
188000,1,3,1
189000,1,3,1
190000,3,4,1
191000,1,4,1
192000,2,3,1
193000,2,3,1
194000,1,3,1
195000,2,4,1
196000,2,3,1
197000,1,4,1
198000,1,4,1
199000,1,3,1
200000,1,3,1
201000,2,4,1
202000,1,3,1
203000,3,4,1
204000,2,4,1
205000,3,4,1
206000,1,4,1
207000,1,2,1
208000,1,3,1
209000,1,3,1
210000,2,3,1
211000,2,3,1
212000,1,2,1
213000,2,4,1
214000,1,4,1
215000,3,4,1
216000,1,2,1
217000,3,4,1
218000,2,4,1
219000,1,2,1
220000,1,3,1
221000,1,4,1
222000,1,4,1
223000,2,3,1
224000,3,4,1
225000,1,2,1
226000,1,2,1
227000,1,3,1
228000,1,3,1
229000,1,2,1
230000,1,2,1
231000,1,4,1
232000,2,4,1
233000,3,4,1
