generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,1,4,1
3000,2,4,1
4000,1,2,1
5000,2,4,1
6000,3,4,1
7000,1,2,1
8000,1,2,1
9000,1,2,1
10000,1,3,1
11000,3,4,1
12000,2,4,1
13000,1,3,1
14000,2,4,1
15000,2,3,1
16000,2,3,1
17000,2,4,1
18000,2,3,1
19000,2,4,1
20000,2,4,1
21000,1,2,1
22000,2,3,1
23000,1,3,1
24000,1,2,1
25000,1,2,1
26000,1,3,1
27000,2,3,1
28000,1,4,1
29000,1,2,1
30000,1,2,1
31000,3,4,1
32000,3,4,1
33000,2,3,1
34000,1,2,1
35000,1,2,1
36000,1,2,1
37000,3,4,1
38000,2,3,1
39000,3,4,1
40000,1,4,1
41000,1,3,1
42000,1,4,1
43000,2,3,1
44000,3,4,1
45000,2,3,1
46000,2,4,1
47000,3,4,1
48000,2,3,1
49000,2,3,1
50000,1,3,1
51000,1,3,1
52000,1,4,1
53000,2,4,1
54000,2,4,1
55000,2,4,1
56000,3,4,1
57000,2,4,1
58000,2,4,1
59000,1,4,1
60000,3,4,1
61000,2,4,1
62000,3,4,1
63000,1,3,1
64000,1,4,1
65000,1,4,1
66000,1,4,1
67000,1,2,1
68000,1,3,1
69000,1,4,1
70000,3,4,1
71000,2,4,1
72000,2,3,1
73000,1,2,1
74000,1,2,1
75000,1,2,1
76000,1,4,1
77000,3,4,1
78000,3,4,1
79000,1,2,1
80000,1,2,1
81000,2,4,1
82000,1,2,1
83000,2,3,1
84000,1,2,1
85000,2,3,1
86000,3,4,1
87000,2,3,1
88000,3,4,1
89000,3,4,1
90000,2,3,1
91000,1,3,1
92000,1,2,1
93000,1,4,1
94000,2,3,0
95000,1,2,1
96000,2,4,1
97000,1,2,1
98000,1,4,1
99000,2,3,1
100000,3,4,1
101000,2,4,1
102000,1,3,1
103000,3,4,1
104000,1,4,1
105000,1,4,1
106000,1,2,1
107000,2,4,1
108000,1,3,1
109000,3,4,1
110000,1,2,1
111000,2,3,1
112000,2,4,1
113000,2,3,1
114000,2,4,1
115000,2,3,1
116000,1,2,1
117000,2,4,1
118000,1,4,0
119000,2,3,1
120000,1,3,1
121000,1,3,1
122000,1,2,1
123000,1,2,1
124000,1,4,1
125000,3,4,1
126000,1,2,1
127000,2,3,1
128000,2,4,1
129000,2,4,1
130000,1,4,1
131000,2,4,1
132000,3,4,1
133000,2,4,1
134000,1,4,1
135000,1,4,1
136000,3,4,1
137000,1,4,1
138000,1,2,1
139000,2,4,1
140000,2,4,1
141000,1,4,1
142000,1,2,1
143000,2,4,1
144000,3,4,1
145000,1,4,1
146000,3,4,1
147000,2,3,1
148000,1,3,1
149000,2,4,1
150000,1,4,1
151000,1,4,1
152000,2,4,1
153000,1,3,1
154000,2,3,1
155000,1,4,1
156000,1,2,1
157000,2,4,1
158000,1,4,1
159000,2,4,1
160000,3,4,1
161000,1,3,1
162000,1,3,1
163000,3,4,1
164000,2,4,0
165000,1,2,1
166000,3,4,1
167000,3,4,1
168000,2,4,1
169000,2,3,1
170000,3,4,1
171000,1,4,1
172000,3,4,1
173000,1,2,1
174000,2,3,1
175000,1,2,1
176000,1,3,0
177000,1,3,1
178000,1,4,1
179000,3,4,1
180000,3,4,1
181000,1,4,1
182000,1,2,1
183000,3,4,1
184000,2,4,1
185000,1,2,1
186000,1,3,1
187000,1,2,1
188000,1,3,1
189000,1,3,1
190000,2,3,1
191000,2,3,1
192000,1,2,1
193000,1,4,1
194000,1,4,1
195000,1,4,1
196000,1,2,1
197000,1,3,1
198000,2,3,1
199000,1,2,1
200000,2,4,1
201000,2,4,1
202000,2,4,1
203000,2,4,1
204000,2,3,1
205000,2,4,1
206000,2,3,1
207000,2,4,1
208000,2,3,1
209000,3,4,1
210000,1,4,1
211000,1,3,1
212000,3,4,1
213000,1,3,1
214000,1,3,1
215000,1,2,1
216000,1,3,1
217000,1,2,1
218000,1,4,1
219000,1,3,1
220000,1,4,1
221000,1,3,1
222000,1,3,1
223000,3,4,1
224000,1,2,1
225000,2,3,1
226000,1,2,1
227000,1,2,1
228000,1,2,1
229000,1,3,1
230000,1,4,0
231000,1,4,1
232000,2,4,1
233000,3,4,1
234000,3,4,1
235000,3,4,1
236000,1,2,1
237000,2,4,1
238000,2,4,1
239000,2,3,1
240000,1,3,1
241000,3,4,1
242000,1,4,1
243000,1,3,1
244000,1,4,1
245000,2,3,1
246000,1,4,0
247000,1,4,1
248000,1,4,1
249000,2,4,1
250000,1,2,1
251000,1,3,1
252000,1,2,1
253000,1,3,1
254000,3,4,1
255000,1,2,1
256000,1,4,1
257000,3,4,1
258000,3,4,1
259000,1,3,1
260000,2,4,1
261000,2,3,1
262000,3,4,1
263000,1,3,1
264000,3,4,1
265000,2,4,1
266000,2,4,1
267000,3,4,1
268000,1,3,1
269000,3,4,1
270000,3,4,1
271000,1,2,1
272000,1,2,1
273000,1,4,1
274000,1,4,1
275000,1,4,1
276000,3,4,1
277000,1,3,1
278000,3,4,1
279000,3,4,1
280000,3,4,1
281000,1,3,1
282000,1,4,1
283000,1,4,1
284000,1,3,1
285000,1,3,1
286000,1,2,1
287000,1,4,1
288000,3,4,1
289000,2,4,1
290000,2,4,1
291000,1,3,1
292000,3,4,1
293000,1,4,1
294000,2,3,1
295000,2,3,1
296000,2,4,1
297000,2,4,1
298000,1,2,1
299000,1,2,1
300000,2,4,1
301000,2,3,1
302000,2,4,1
303000,2,4,0
304000,2,4,0
305000,1,2,1
306000,3,4,1
307000,2,4,1
308000,2,4,1
309000,1,4,1
310000,1,4,1
311000,2,4,1
312000,3,4,1
313000,2,3,1
314000,2,4,1
315000,2,4,1
316000,1,4,1
317000,2,4,1
318000,3,4,1
319000,1,2,1
320000,3,4,1
321000,2,3,1
322000,1,3,1
323000,1,4,1
324000,2,3,0
325000,1,2,1
326000,3,4,1
327000,1,4,1
328000,3,4,1
329000,1,4,1
330000,1,4,1
331000,1,3,1
332000,3,4,1
333000,1,4,1
334000,2,3,1
335000,2,4,1
336000,2,3,1
337000,1,3,1
338000,3,4,1
339000,1,3,1
340000,1,4,1
341000,2,4,1
342000,1,2,1
343000,1,3,1
344000,2,4,1
345000,1,2,1
346000,1,4,1
347000,2,3,1
348000,2,4,1
349000,1,4,1
350000,2,3,1
351000,3,4,1
352000,2,4,1
353000,2,3,1
354000,1,2,1
355000,3,4,1
356000,2,4,1
357000,2,4,1
358000,1,3,1
359000,2,3,1
360000,1,3,1
361000,1,2,1
362000,2,4,1
363000,2,4,1
364000,3,4,1
365000,1,2,1
366000,3,4,1
367000,1,2,1
368000,1,2,1
369000,3,4,1
370000,1,4,1
371000,3,4,1
372000,1,2,1
373000,2,4,1
374000,2,4,1
375000,2,4,1
376000,1,4,1
377000,1,3,1
378000,1,2,1
379000,1,4,1
380000,1,4,1
381000,1,2,1
382000,3,4,1
383000,1,3,1
384000,1,4,1
385000,1,4,1
386000,2,3,1
387000,2,3,1
388000,1,2,1
389000,2,3,1
390000,1,3,1
391000,3,4,1
392000,3,4,1
393000,1,2,1
394000,1,4,1
395000,3,4,1
396000,1,2,1
397000,1,3,1
398000,1,4,1
399000,1,2,1
400000,3,4,1
401000,1,4,1
402000,3,4,1
403000,3,4,1
404000,1,3,1
405000,1,4,1
406000,1,3,1
407000,2,4,1
408000,1,4,1
409000,3,4,1
410000,2,4,1
411000,1,2,1
412000,1,2,1
413000,2,3,1
414000,1,2,1
415000,1,3,1
416000,2,4,1
417000,1,2,1
418000,3,4,1
419000,1,2,1
420000,2,3,1
421000,1,2,1
422000,1,2,1
423000,1,3,1
424000,1,4,1
425000,2,4,1
426000,1,2,1
427000,3,4,1
428000,3,4,1
429000,1,3,1
430000,2,3,1
431000,1,2,1
432000,3,4,1
433000,3,4,1
434000,2,4,1
435000,3,4,1
436000,2,4,0
437000,3,4,1
438000,2,3,1
439000,1,4,0
440000,1,3,1
441000,3,4,1
442000,1,4,1
443000,3,4,1
444000,3,4,1
445000,1,4,0
446000,1,2,1
447000,1,2,1
448000,2,4,1
449000,3,4,1
450000,1,4,1
451000,2,3,1
452000,1,2,1
453000,2,3,1
454000,1,2,1
455000,1,2,1
456000,3,4,1
457000,3,4,1
458000,1,4,1
459000,3,4,1
460000,3,4,1
461000,1,2,1
462000,3,4,1
463000,2,3,1
464000,1,3,1
465000,2,3,1
466000,1,2,1
467000,3,4,1
468000,1,3,0
469000,3,4,1
470000,1,2,1
471000,3,4,1
472000,2,3,1
473000,3,4,1
474000,2,4,1
475000,1,2,1
476000,1,3,1
477000,2,3,1
478000,3,4,1
479000,1,2,1
480000,2,3,1
481000,1,2,1
482000,2,4,1
483000,2,4,1
484000,2,4,1
485000,3,4,1
486000,1,4,1
487000,1,2,1
488000,3,4,1
489000,1,3,1
490000,3,4,1
491000,2,3,1
492000,1,4,1
493000,2,3,1
494000,1,2,1
495000,3,4,1
496000,2,3,1
497000,2,4,1
498000,3,4,1
499000,3,4,1
500000,3,4,1
501000,1,4,0
502000,3,4,1
503000,2,3,1
504000,3,4,1
505000,2,3,1
506000,3,4,1
507000,2,4,1
508000,2,4,1
509000,1,3,1
510000,3,4,1
511000,2,4,1
512000,3,4,1
513000,2,4,1
514000,2,3,1
515000,1,4,1
516000,1,4,1
517000,1,2,1
518000,1,3,1
519000,1,3,1
520000,1,4,1
521000,1,2,1
522000,1,2,1
523000,1,2,1
524000,2,3,1
525000,1,3,1
526000,2,4,0
527000,1,2,1
528000,1,3,1
529000,3,4,1
530000,2,4,1
531000,1,3,1
532000,2,3,1
533000,1,3,1
534000,2,4,1
535000,1,3,1
536000,2,4,1
537000,2,4,1
538000,2,3,1
539000,3,4,1
540000,2,3,1
541000,3,4,1
542000,1,4,1
543000,1,2,1
544000,1,2,1
545000,2,4,1
546000,1,2,1
547000,1,4,1
548000,1,2,1
549000,1,2,1
550000,1,2,1
551000,3,4,1
552000,1,2,1
553000,2,4,1
554000,3,4,1
555000,2,3,1
556000,1,2,1
557000,1,2,1
558000,2,4,1
559000,2,4,1
560000,2,4,1
561000,3,4,1
562000,1,3,1
563000,3,4,1
564000,1,3,1
565000,1,3,1
566000,2,3,1
567000,1,3,1
568000,1,4,1
569000,1,3,1
570000,1,4,1
571000,3,4,1
572000,1,3,1
573000,1,3,1
574000,2,4,1
575000,2,3,1
576000,1,4,1
577000,2,3,1
578000,1,3,1
579000,2,3,1
580000,3,4,1
581000,1,2,1
582000,1,2,1
583000,1,3,1
584000,2,3,1
585000,1,4,1
586000,3,4,1
587000,1,2,1
588000,3,4,1
589000,1,4,1
590000,2,4,1
591000,1,2,1
592000,2,4,1
593000,1,2,1
594000,1,2,1
595000,1,4,1
596000,1,4,0
597000,1,3,1
598000,3,4,1
599000,1,4,1
600000,1,2,1
601000,3,4,1
602000,1,4,1
603000,1,3,1
604000,2,3,1
605000,1,3,1
606000,2,4,1
607000,2,4,1
608000,1,3,1
609000,2,4,1
610000,2,4,1
611000,1,3,1
612000,1,4,1
613000,2,4,1
614000,3,4,1
615000,3,4,1
616000,2,3,1
617000,1,3,1
618000,3,4,1
619000,2,4,1
620000,1,2,1
621000,2,3,1
622000,2,3,1
623000,2,3,1
624000,1,3,1
625000,2,4,1
626000,3,4,1
627000,1,3,1
628000,2,4,1
629000,1,2,1
630000,1,2,1
631000,1,3,1
632000,1,3,1
633000,2,3,1
634000,1,4,1
635000,2,4,1
636000,2,3,1
637000,1,2,1
638000,1,4,1
639000,2,3,1
640000,3,4,1
641000,2,3,1
642000,3,4,1
643000,1,3,1
644000,3,4,1
645000,1,3,1
646000,3,4,1
647000,1,4,1
648000,2,4,1
649000,3,4,1
650000,1,2,1
651000,2,3,1
652000,1,2,1
653000,1,2,1
654000,1,2,1
655000,1,3,1
656000,3,4,1
657000,2,4,1
658000,1,4,1
659000,2,4,1
660000,3,4,1
661000,2,4,1
662000,2,3,1
663000,2,4,1
664000,1,4,1
665000,1,2,1
666000,1,4,1
667000,1,4,1
668000,1,4,1
669000,1,2,1
670000,1,2,1
671000,3,4,1
672000,3,4,1
673000,1,4,1
674000,2,4,1
675000,3,4,1
676000,2,4,1
677000,2,3,1
678000,1,2,1
679000,3,4,1
680000,3,4,1
681000,1,3,1
682000,3,4,1
683000,1,2,1
684000,2,3,1
685000,2,3,1
686000,1,3,0
687000,1,4,1
688000,2,3,1
689000,2,3,0
690000,3,4,1
691000,1,4,1
692000,2,3,1
693000,1,2,1
694000,1,4,1
695000,1,3,1
696000,2,4,1
697000,2,3,1
698000,2,3,1
699000,2,3,1
700000,1,2,1
701000,1,2,1
702000,2,3,1
703000,2,4,1
704000,1,3,1
705000,1,3,1
706000,2,4,1
707000,2,3,1
708000,1,2,0
709000,1,3,1
710000,3,4,1
711000,1,4,1
712000,3,4,1
713000,3,4,1
714000,1,2,1
715000,1,3,1
716000,1,4,1
717000,2,4,1
718000,2,3,1
719000,1,2,1
720000,3,4,1
721000,1,3,1
722000,1,2,1
723000,2,4,1
724000,1,3,0
725000,2,4,1
726000,1,4,1
727000,1,4,1
728000,2,3,1
729000,1,3,1
730000,2,4,1
731000,1,2,1
732000,1,4,1
733000,2,4,1
734000,3,4,1
735000,2,4,1
736000,1,2,1
737000,3,4,1
738000,2,3,1
739000,2,3,1
740000,2,3,1
741000,1,3,1
742000,1,4,1
743000,2,4,1
744000,1,2,1
745000,1,2,1
746000,2,4,1
747000,2,3,1
748000,1,3,1
749000,1,4,0
750000,1,4,1
751000,1,2,1
752000,2,3,1
753000,1,2,1
754000,2,4,1
755000,1,4,1
756000,3,4,1
757000,1,3,1
758000,1,3,1
759000,1,2,1
760000,1,4,0
761000,1,4,1
762000,1,3,1
763000,2,3,1
764000,1,3,1
765000,3,4,1
766000,1,2,1
767000,2,3,1
768000,2,4,1
769000,3,4,1
770000,2,4,1
771000,1,4,1
772000,1,4,1
773000,1,4,0
774000,3,4,1
775000,3,4,1
776000,3,4,1
777000,2,4,1
778000,1,3,1
779000,1,3,1
780000,1,4,1
781000,1,4,1
782000,2,4,1
783000,3,4,1
784000,2,3,1
785000,2,4,0
786000,1,4,1
787000,1,3,1
788000,1,3,1
789000,1,4,1
790000,1,2,1
791000,1,4,1
792000,2,3,1
793000,3,4,1
794000,1,3,1
795000,3,4,1
796000,2,4,1
797000,1,2,1
798000,2,3,1
799000,1,4,1
800000,2,3,1
801000,2,3,1
802000,1,2,1
803000,2,4,1
804000,1,4,1
805000,1,3,1
806000,1,4,1
807000,2,3,1
808000,2,4,1
809000,1,3,1
810000,2,3,1
811000,2,3,1
812000,1,4,1
813000,3,4,1
814000,1,4,1
815000,2,4,1
816000,1,2,1
817000,1,4,1
818000,2,4,1
819000,1,3,1
820000,3,4,1
821000,1,3,1
822000,2,3,1
823000,2,3,1
824000,1,3,1
825000,1,2,1
826000,1,3,1
827000,3,4,1
828000,2,4,0
829000,1,3,1
830000,3,4,1
831000,1,3,1
832000,3,4,1
833000,1,2,1
834000,2,3,1
835000,1,2,1
836000,1,2,1
837000,1,4,1
838000,3,4,1
839000,1,2,1
840000,2,3,1
841000,3,4,1
842000,1,2,1
843000,2,4,1
844000,1,3,0
845000,3,4,1
846000,1,3,1
847000,3,4,1
848000,3,4,1
849000,1,4,1
850000,1,4,1
851000,3,4,1
852000,1,4,1
853000,3,4,1
854000,2,3,1
855000,2,4,1
856000,2,3,1
857000,2,4,1
858000,1,3,1
859000,1,2,1
860000,1,4,1
861000,1,2,1
862000,1,3,1
863000,2,3,1
864000,2,3,1
865000,2,4,1
866000,1,4,1
