generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Balaena_mysticetus,Physeter_catodon,0,0.053631,0,0.005,0
1000,Balaena_mysticetus,Physeter_catodon,0,0.0522851,0.0445986,0.00766938,0
2000,Balaena_mysticetus,Physeter_catodon,0,0.078151,0.00927196,0.0241556,0
3000,Balaena_mysticetus,Physeter_catodon,0,0.101812,-0.000572846,0.0107615,0
4000,Balaena_mysticetus,Physeter_catodon,0,0.152661,-0.0182612,0.00341873,0
5000,Balaena_mysticetus,Physeter_catodon,0,0.0582491,0.0360762,0.00731418,0
6000,Balaena_mysticetus,Physeter_catodon,0,0.0612338,0.0409586,0.0163309,0
7000,Balaena_mysticetus,Physeter_catodon,0,0.0683802,0.0536579,0.013844,0
8000,Balaena_mysticetus,Physeter_catodon,0,0.0859239,-0.00208311,0.00796986,0
9000,Balaena_mysticetus,Physeter_catodon,0,0.0663631,0.101834,0.0264642,0
10000,Balaena_mysticetus,Physeter_catodon,0,0.104693,-0.0069087,0.00586466,0
11000,Balaena_mysticetus,Physeter_catodon,0,0.0420906,0.0646259,0.000788473,0
12000,Balaena_mysticetus,Physeter_catodon,0,0.0592244,0.0147464,0.0021112,0
13000,Balaena_mysticetus,Physeter_catodon,0,0.0645873,0.0241891,0.00363063,0
14000,Balaena_mysticetus,Physeter_catodon,0,0.161268,-0.0165303,0.0393004,0
15000,Balaena_mysticetus,Physeter_catodon,0,0.123101,-0.000584119,0.0301363,0
16000,Balaena_mysticetus,Physeter_catodon,0,0.0612655,0.145791,0.0242744,0
17000,Balaena_mysticetus,Physeter_catodon,0,0.12249,-0.0227206,0.00698189,0
17000,Orcinus_orca,Orcaella_brevirostris,23.7725,0.590079,-0.0846786,0.0979125,0
18000,Balaena_mysticetus,Physeter_catodon,0,0.163462,-0.0212946,0.0450987,0
18000,Megaptera_novaeangliae,NA,27.9761,0.0596631,-0.0667921,0.0757037,0
18000,Megaptera_novaeangliae,NA,27.5068,0.162364,-0.0311849,1.1408,0
18000,Orcinus_orca,Orcaella_brevirostris,20.9749,0.249371,-0.0448776,0.0066887,0
19000,Balaena_mysticetus,Physeter_catodon,0,0.245799,-0.0464714,0.0121291,0
19000,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.2547,0.484298,-0.0942015,0.0584795,0
20000,Balaena_mysticetus,Physeter_catodon,0,0.22955,-0.035083,0.0524991,0
20000,Orcinus_orca,Orcaella_brevirostris,23.6233,0.531452,-0.0838156,0.0677671,0
21000,Balaena_mysticetus,Physeter_catodon,0,0.239859,-0.0387571,0.00394398,0
21000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.1868,0.363403,-0.0385014,0.0677584,0
22000,Balaena_mysticetus,Physeter_catodon,0,0.184519,-0.033011,0.0403233,0
22000,Orcinus_orca,Orcaella_brevirostris,24.1632,0.370413,-0.0850792,0.0150829,0
23000,Balaena_mysticetus,Physeter_catodon,0,0.131969,-0.0131564,0.00485519,0
23000,Orcinus_orca,Orcaella_brevirostris,24.1499,0.5625,-0.104981,0.011696,0
24000,Balaena_mysticetus,Physeter_catodon,0,0.144535,-0.0226577,0.0131942,0
24000,Orcinus_orca,Orcaella_brevirostris,24.7787,0.503848,-0.0834619,0.128606,0
25000,Balaena_mysticetus,Physeter_catodon,0,0.264714,-0.0429264,0.0156172,0
25000,Orcinus_orca,Orcaella_brevirostris,22.7021,0.685654,-0.0759257,0.0810631,0
26000,Balaena_mysticetus,Physeter_catodon,0,0.155645,-0.0292203,0.0036311,0
26000,Orcinus_orca,Orcaella_brevirostris,24.6333,0.438479,-0.0745443,0.0589419,0
27000,Balaena_mysticetus,Physeter_catodon,0,0.197154,-0.0262248,0.0696092,0
27000,Orcinus_orca,Orcaella_brevirostris,23.4718,0.339341,-0.0472529,0.123786,0
28000,Balaena_mysticetus,Physeter_catodon,0,0.206886,-0.0421376,0.0427747,0
28000,Orcinus_orca,Orcaella_brevirostris,25.0981,0.762985,-0.124828,0.102235,0
29000,Balaena_mysticetus,Physeter_catodon,0,0.133364,-0.0254404,0.0189177,0
29000,Platanista_gangetica,Platanista_minor,29.153,0.358459,-0.0242837,0.430607,0
29000,Orcinus_orca,Orcaella_brevirostris,21.8228,0.646103,-0.0933976,0.0204096,0
30000,Balaena_mysticetus,Physeter_catodon,0,0.151474,-0.025584,0.00284585,0
30000,Orcinus_orca,Orcaella_brevirostris,24.4122,0.303022,-0.0461038,0.0119901,0
31000,Balaena_mysticetus,Physeter_catodon,0,0.153182,-0.0278927,0.0124855,0
31000,Orcinus_orca,Orcaella_brevirostris,21.0878,0.521108,-0.0729257,0.0342029,0
32000,Balaena_mysticetus,Physeter_catodon,0,0.223536,-0.0366435,0.0433346,0
32000,Delphinapterus_leucas,Orcinus_orca,11.3399,0.493588,-0.0597762,0.0153427,0
33000,Balaena_mysticetus,Physeter_catodon,0,0.239429,-0.0430374,0.0371485,0
33000,Platanista_gangetica,Platanista_minor,4.38867,0.206305,-0.0221782,0.155141,0
33000,Platanista_gangetica,Platanista_minor,12.0434,0.586721,-0.0294118,0.57602,0
33000,Delphinapterus_leucas,Orcinus_orca,11.7961,0.324685,-0.0344083,0.0298425,0
34000,Balaena_mysticetus,Physeter_catodon,0,0.318536,-0.035118,0.0253035,0
35000,Balaena_mysticetus,Physeter_catodon,0,0.0703582,-0.0110079,0.00222151,0
35000,Delphinapterus_leucas,Orcinus_orca,16.5693,0.327931,-0.0461211,0.0464806,0
36000,Balaena_mysticetus,Physeter_catodon,0,0.285525,-0.0355976,0.0325424,0
37000,Balaena_mysticetus,Physeter_catodon,0,0.226836,-0.0286339,0.0224799,0
38000,Balaena_mysticetus,Physeter_catodon,0,0.24328,-0.0297615,0.0240996,0
39000,Balaena_mysticetus,Physeter_catodon,0,0.202712,-0.0207557,0.0513171,0
40000,Balaena_mysticetus,Physeter_catodon,0,0.280379,-0.0440705,0.0578453,0
40000,Delphinapterus_leucas,Orcinus_orca,16.7656,0.263103,-0.0226377,0.127515,0
41000,Balaena_mysticetus,Physeter_catodon,0,0.204696,-0.0278251,0.0176491,0
41000,Orcinus_orca,Orcaella_brevirostris,24.8456,0.496097,-0.105556,0.023067,0
42000,Balaena_mysticetus,Physeter_catodon,0,0.221783,-0.050426,0.0132436,0
42000,Orcinus_orca,Orcaella_brevirostris,22.2033,0.425352,-0.0742469,0.0369818,0
43000,Balaena_mysticetus,Physeter_catodon,0,0.108381,-0.0225963,0.0038538,0
43000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.3544,0.589513,-0.120673,0.0345889,0
44000,Balaena_mysticetus,Physeter_catodon,0,0.168816,-0.036982,0.00889731,0
44000,Orcinus_orca,Orcaella_brevirostris,24.5446,0.609722,-0.0964862,0.0669559,0
45000,Balaena_mysticetus,Physeter_catodon,0,0.334487,-0.0375145,0.0887213,0
45000,Orcinus_orca,Orcaella_brevirostris,21.9691,0.301268,-0.00629096,0.101552,0
46000,Balaena_mysticetus,Physeter_catodon,0,0.270115,-0.0326068,0.084956,0
46000,Orcinus_orca,Orcaella_brevirostris,23.5824,0.517429,-0.073544,0.00347388,0
47000,Balaena_mysticetus,Physeter_catodon,0,0.199586,-0.0436826,0.00193999,0
47000,Orcinus_orca,Orcaella_brevirostris,22.6412,0.479479,-0.0786847,0.11317,0
48000,Balaena_mysticetus,Physeter_catodon,0,0.224088,-0.0330133,0.0542174,0
48000,Orcinus_orca,Orcaella_brevirostris,23.4768,0.294094,-0.0337583,0.0101894,0
49000,Balaena_mysticetus,Physeter_catodon,0,0.0824358,-0.00414548,0.00211804,0
49000,Orcinus_orca,Orcaella_brevirostris,24.8392,0.360371,-0.0100797,0.229348,0
50000,Balaena_mysticetus,Physeter_catodon,0,0.103011,-0.0115823,0.0064791,0
50000,Orcinus_orca,Orcaella_brevirostris,21.724,0.345171,-0.0175719,0.103578,0
51000,Balaena_mysticetus,Physeter_catodon,0,0.0767667,0.00432665,0.00675435,0
51000,Orcinus_orca,Orcaella_brevirostris,21.12,0.622401,-0.102498,0.0398357,0
52000,Balaena_mysticetus,Physeter_catodon,0,0.187449,-0.0370742,0.0137781,0
52000,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.1143,0.508349,-0.0964433,0.010127,0
53000,Balaena_mysticetus,Physeter_catodon,0,0.326636,-0.0451232,0.0387089,0
53000,Orcinus_orca,Orcaella_brevirostris,22.0971,0.762195,-0.0684368,0.193328,0
54000,Balaena_mysticetus,Physeter_catodon,0,0.256864,-0.0521053,0.0366405,0
54000,Delphinapterus_leucas,Orcinus_orca,12.7069,0.422616,-0.0619725,0.0282492,0
55000,Balaena_mysticetus,Physeter_catodon,0,0.222917,-0.0441023,0.0367374,0
55000,Delphinapterus_leucas,Orcinus_orca,13.7815,0.404143,-0.0370959,0.0224753,0
56000,Balaena_mysticetus,Physeter_catodon,0,0.244122,-0.0511861,0.0104812,0
56000,Delphinapterus_leucas,Orcinus_orca,15.0994,0.653733,-0.0841662,0.00418015,0
57000,Balaena_mysticetus,Physeter_catodon,0,0.166627,-0.0305531,0.0337651,0
57000,Orcinus_orca,Orcaella_brevirostris,20.1724,0.447513,-0.0862849,0.0465087,0
58000,Balaena_mysticetus,Physeter_catodon,0,0.26057,-0.0540946,0.0176786,0
58000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.5953,0.410686,-0.0696885,0.0516207,0
59000,Balaena_mysticetus,Physeter_catodon,0,0.11016,-0.0236013,0.000669574,0
59000,Orcinus_orca,Orcaella_brevirostris,22.2362,0.421977,-0.0441188,0.0981554,0
60000,Balaena_mysticetus,Physeter_catodon,0,0.228532,-0.0437794,0.0313046,0
60000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.7883,0.326082,-0.0515896,0.0468901,0
61000,Balaena_mysticetus,Physeter_catodon,0,0.308864,-0.0347747,0.0820186,0
61000,Orcinus_orca,Orcaella_brevirostris,22.6144,0.452312,-0.0692761,0.136362,0
62000,Balaena_mysticetus,Physeter_catodon,0,0.139294,-0.0221347,0.0128006,0
62000,Orcinus_orca,Orcaella_brevirostris,24.5894,0.519841,-0.10438,0.0135566,0
63000,Balaena_mysticetus,Physeter_catodon,0,0.147919,-0.0224414,0.0133353,0
63000,Orcinus_orca,Orcaella_brevirostris,24.7524,0.382925,-0.0644594,0.0259443,0
64000,Balaena_mysticetus,Physeter_catodon,0,0.158781,-0.0233233,0.00769353,0
64000,Phocoenoides_dalli,NA,35.5299,1.32106,0.0331419,0.939446,0
64000,Orcinus_orca,Orcaella_brevirostris,21.658,0.560126,-0.113513,0.0415584,0
65000,Balaena_mysticetus,Physeter_catodon,0,0.199434,-0.0475514,0.0255163,0
65000,Orcinus_orca,Orcaella_brevirostris,23.0659,0.480001,-0.0801498,0.10655,0
66000,Balaena_mysticetus,Physeter_catodon,0,0.173147,-0.0254527,0.0359929,0
66000,Orcinus_orca,Orcaella_brevirostris,24.4473,0.249574,0.00120923,0.0555283,0
67000,Balaena_mysticetus,Physeter_catodon,0,0.187615,-0.0229579,0.0543244,0
67000,Orcinus_orca,Orcaella_brevirostris,23.1113,0.924903,-0.10832,0.0262365,0
68000,Balaena_mysticetus,Physeter_catodon,0,0.230631,-0.0358878,0.0520464,0
68000,Orcinus_orca,Orcaella_brevirostris,22.5986,0.37022,-0.0652412,0.0830551,0
69000,Balaena_mysticetus,Physeter_catodon,0,0.253838,-0.0231102,0.144239,0
