generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.0992242,-251.769,1,1
1000,0,-0.0330922,-241.837,0.733185,0.452547
2000,0,-0.213509,-242.18,1.25186,0.396802
3000,0,0.393439,-240.553,0.651778,0.341
4000,0,0.475321,-240.711,0.459761,0.378667
5000,0,0.791604,-241.331,0.0403896,0.339
6000,0,0.145541,-241.642,0.599227,0.422
7000,0,0.388663,-242.206,0.111133,0.360948
8000,0,0.961397,-241.98,0.101697,0.334
9000,0,-1.70043,-242.642,0.691423,0.388
10000,0,0.662486,-240.925,0.375266,0.339714
11000,0,0.0795727,-242.96,0.200102,0.389
12000,0,-0.0109421,-242.37,1.06397,0.409
13000,0,0.89293,-240.968,0.0796856,0.364692
14000,0,-0.160842,-241.377,1.06348,0.327
15000,0,0.916165,-241.446,0.0883852,0.39
16000,0,-3.24465,-241.944,0.0659813,0.327
17000,1,-0.479625,-230.247,0.440536,0.484
18000,3,-2.22349,-235.135,3.37153,0.47
19000,1,-1.44176,-228.937,0.75006,0.517
20000,1,-1.01423,-231.526,0.797494,0.464
21000,1,-0.639112,-231.962,1.68296,0.423
22000,1,-0.922512,-230.61,0.962245,0.458
23000,1,-2.64432,-230.489,2.0102,0.455333
24000,1,-0.514882,-230.319,0.544558,0.427933
25000,1,-1.97512,-233.641,1.7223,0.4735
26000,1,-0.152562,-229.205,0.529438,0.4615
27000,1,0.343306,-235.221,0.658399,0.495
28000,1,-4.06022,-231.855,1.78954,0.4257
29000,2,-0.453921,-229.299,0.32762,0.472
30000,1,0.817521,-229.598,0.472837,0.47
31000,1,-0.119662,-230.503,0.495162,0.506
32000,1,-0.0255088,-233.958,0.58223,0.517
33000,3,-2.3726,-233.555,3.97011,0.47
34000,0,-0.03036,-243.846,0.597721,0.4506
35000,1,1.0592,-233.118,0.359857,0.481
36000,0,-0.95333,-242.477,1.53968,0.2745
37000,0,0.545883,-241.541,0.198675,0.309
38000,0,0.364085,-241.754,0.349241,0.32
39000,0,0.463318,-241.26,0.354348,0.276
40000,1,-0.726402,-236.133,1.82233,0.4914
41000,1,-1.45612,-230.344,0.647083,0.491667
42000,1,-2.06404,-231.313,2.07131,0.384667
43000,1,-3.05667,-228.11,1.62155,0.499
44000,1,-1.65871,-229.896,0.984574,0.486
45000,1,-0.511236,-237.043,1.71154,0.499
46000,1,-0.94513,-233.995,1.09048,0.455
47000,1,-2.0332,-231.091,1.93485,0.494
48000,1,-1.80348,-232.216,3.0907,0.454
49000,1,0.737373,-236.128,0.880307,0.489
50000,1,-0.467854,-233.48,2.13674,0.489333
51000,1,-1.30279,-232.255,0.767849,0.461
52000,1,-2.22588,-228.554,1.68672,0.479833
53000,1,-0.764218,-235.949,0.41512,0.468
54000,1,-1.08614,-234.983,1.34637,0.471
55000,1,0.337326,-233.169,0.627889,0.446
56000,1,-2.7861,-232.497,2.2485,0.475
57000,1,-0.644492,-233.249,0.590075,0.535
58000,1,-1.12618,-230.603,1.14479,0.484
59000,1,0.592201,-231.807,0.591849,0.477111
60000,1,0.108592,-230.824,0.658686,0.495
61000,1,-0.448014,-235.301,0.582476,0.456
62000,1,-0.963563,-228.737,0.316742,0.413
63000,1,0.179255,-229.814,0.634606,0.427917
64000,2,-3.7962,-231.663,1.33559,0.4805
65000,1,-1.34897,-233.205,1.11615,0.5035
66000,1,1.26728,-233.677,0.404327,0.5005
67000,1,-2.34089,-235.983,1.01148,0.386325
68000,1,-0.515133,-233.003,0.986021,0.508667
69000,2,-4.04099,-238.916,2.28886,0.5
70000,1,-0.377493,-232.826,0.815346,0.466
71000,1,-1.84409,-234.931,1.27145,0.498
72000,1,0.518969,-233.509,0.513098,0.467
73000,2,-0.271387,-237.765,0.499782,0.4652
74000,2,-1.20817,-229.645,1.92432,0.443
75000,1,-0.738191,-232.982,0.416403,0.466
76000,1,-2.56191,-229.526,0.546995,0.4706
77000,1,-0.424764,-234.114,1.96908,0.487
78000,1,-0.0393729,-230.378,0.62693,0.484
79000,1,-1.50905,-232.525,0.776911,0.4702
80000,1,0.40524,-232.511,0.593948,0.461
81000,2,-1.45921,-234.117,2.37556,0.525
82000,0,0.145016,-241.352,0.829429,0.405857
83000,0,0.842046,-240.59,0.20558,0.346
84000,1,-1.7096,-228.684,1.00725,0.489412
85000,1,-1.16063,-232.687,0.973045,0.451
86000,2,-1.16381,-233.68,0.902964,0.463
87000,1,0.162177,-233.351,0.875688,0.494
88000,1,1.30719,-233.616,0.319852,0.473
89000,1,-3.42318,-236.899,0.235671,0.487
90000,1,-3.61169,-232.648,0.685744,0.462
91000,1,-1.08181,-233.405,2.30682,0.488583
92000,1,-0.347159,-240.063,0.240688,0.485455
93000,0,0.177945,-244.822,0.163173,0.321
94000,0,0.77286,-245.287,0.0313999,0.268
95000,1,0.669332,-232.112,0.562563,0.49425
96000,1,0.725539,-233.113,0.401605,0.489
97000,0,0.0303086,-246.05,0.330686,0.4658
98000,0,0.45827,-242.049,0.526936,0.32675
99000,0,0.972145,-242.826,0.0219037,0.332
100000,0,0.573073,-242.549,0.322531,0.314
101000,0,0.526337,-240.934,0.34084,0.29
102000,1,-0.463367,-238.441,1.27346,0.3374
103000,0,0.773772,-240.833,0.147532,0.381
104000,0,0.815827,-240.794,0.134039,0.314333
105000,0,0.601034,-241.76,0.173912,0.3015
106000,1,0.225048,-234.392,0.675961,0.4814
107000,2,-1.78743,-233.188,2.77712,0.481
108000,1,1.02376,-231.662,0.243946,0.490667
109000,2,-0.644743,-234.777,1.38255,0.459
110000,0,-1.05431,-242.619,1.64486,0.315
111000,0,-0.0338006,-242.706,1.02485,0.302
112000,0,0.613314,-240.854,0.410036,0.312
113000,0,0.580399,-241.703,0.0971098,0.306
114000,0,0.43505,-241.456,0.361713,0.283
115000,0,0.299763,-242.997,0.389976,0.264
116000,2,-1.5894,-229.917,0.235327,0.479222
117000,1,-0.819376,-229.855,0.990921,0.532
118000,1,-0.786829,-233.059,0.85719,0.519
119000,1,-1.36069,-234.789,2.321,0.479
120000,1,-1.39324,-230.543,0.259305,0.489273
121000,1,-0.680679,-232.354,1.15707,0.4995
122000,1,-2.56928,-233.669,2.23505,0.343
123000,1,-1.13401,-230.717,0.674776,0.4655
124000,0,0.923367,-241.334,0.103383,0.332778
125000,0,0.525398,-241.197,0.501125,0.367
126000,0,0.292693,-240.958,0.717503,0.39775
127000,0,0.084574,-243.962,0.436874,0.316
128000,0,0.994217,-241.425,0.00625699,0.311
129000,0,-0.458192,-242.047,1.34634,0.366
130000,1,-0.415784,-232.915,2.17056,0.4871
131000,1,0.265423,-235.627,0.213661,0.522
132000,1,0.495608,-233.085,0.196351,0.514
133000,1,-4.48842,-231.256,0.571073,0.474
134000,0,-0.636779,-241.083,1.68838,0.3304
135000,1,-1.27733,-229.314,1.8138,0.4785
136000,1,0.178198,-233.05,1.38219,0.523
137000,1,-1.50135,-230.797,0.466027,0.488571
138000,0,0.860347,-240.885,0.158646,0.330462
139000,0,0.890607,-240.81,0.150378,0.391
140000,0,0.733462,-240.742,0.265571,0.35
141000,2,-5.91101,-231.164,1.52931,0.4818
142000,1,0.253449,-242.85,0.347667,0.4982
143000,0,0.457318,-241.198,0.41386,0.307
144000,0,0.626266,-240.602,0.398602,0.31
145000,0,-0.639532,-243.027,1.27909,0.360818
146000,0,0.81542,-240.401,0.180334,0.311
147000,0,0.497556,-243.47,0.157608,0.357
148000,0,0.196082,-241.088,0.198849,0.384625
149000,0,0.918843,-243.983,0.0771291,0.377
150000,0,0.42057,-242.599,0.13333,0.329167
151000,0,0.199296,-242.045,0.420847,0.3275
152000,0,0.803166,-242.81,0.0406432,0.297
153000,0,-0.00182178,-241.125,0.971545,0.332167
154000,0,-0.224984,-241.628,1.08832,0.301
155000,1,-1.83243,-230.626,1.22826,0.468214
156000,0,-0.0552438,-242.683,0.630808,0.3425
157000,0,0.520065,-241.17,0.290519,0.284
158000,0,0.960302,-241.015,0.0678528,0.451667
159000,0,0.227003,-242.915,0.610805,0.369
160000,0,0.644757,-241.218,0.222085,0.367
161000,0,0.830847,-241.072,0.221304,0.382714
162000,0,0.555437,-244.37,0.360332,0.3195
163000,0,0.774155,-241.478,0.0437499,0.277
164000,0,0.225503,-241.67,0.78707,0.284
165000,1,0.111021,-232.306,0.934996,0.424375
166000,1,-0.259182,-231.427,1.19056,0.489
167000,1,1.00653,-233.206,0.617693,0.491
168000,1,-2.33639,-231.279,1.44536,0.46
169000,1,0.284164,-229.631,0.225352,0.484
170000,1,-0.0273573,-230.304,0.0466246,0.494
171000,0,0.61441,-240.779,0.4389,0.3268
172000,0,0.37753,-240.976,0.621355,0.305
173000,0,-0.0718967,-240.874,1.05605,0.330913
174000,0,0.763638,-242.153,0.136786,0.346
175000,1,-1.51394,-232.562,1.89731,0.4782
176000,1,0.851726,-233.978,0.436291,0.459
177000,0,0.88568,-241.601,0.0215176,0.2872
178000,0,-0.0983615,-241.758,0.893031,0.331143
179000,0,0.523217,-242.223,0.0937628,0.265
180000,0,0.35227,-241.544,0.486284,0.302
181000,0,0.541863,-242.597,0.379511,0.3315
182000,0,0.0721966,-241.226,0.761937,0.304375
183000,0,0.672078,-242.806,0.0448847,0.275
184000,0,-0.726392,-240.874,1.59529,0.284
185000,2,0.432857,-232.208,1.15026,0.493111
186000,0,0.795114,-243.234,0.0848896,0.304167
187000,0,0.283169,-245.725,0.0693619,0.305
188000,1,-0.0257011,-232.326,0.952812,0.496333
189000,2,0.587132,-242.704,1.29972,0.335
190000,0,-0.308004,-241.26,1.29075,0.415
191000,0,0.577127,-241.381,0.396193,0.303
192000,0,0.909032,-242.174,0.0243682,0.388
193000,0,0.366072,-241.338,0.630265,0.326917
194000,0,0.344107,-240.805,0.607966,0.372
195000,0,0.970813,-242.181,0.0523456,0.4585
196000,0,-0.288455,-243.43,1.22516,0.3908
197000,1,0.952384,-232.766,0.645099,0.490444
198000,1,-0.528956,-231.561,1.54237,0.536
199000,0,0.45257,-242.404,0.100747,0.325
200000,0,0.837505,-240.498,0.19712,0.307
201000,1,-3.10301,-241.504,1.62936,0.379
202000,1,0.0755302,-237.345,0.561336,0.485
203000,2,-0.555266,-235.564,0.772364,0.5
204000,1,-3.13243,-234.336,3.50336,0.473
205000,1,0.110075,-233.687,0.943847,0.483
206000,1,-1.52996,-228.138,0.48541,0.503
207000,1,0.414632,-231.094,1.11889,0.465
208000,1,-0.726532,-234.014,0.820127,0.472
209000,2,-1.04543,-229.161,1.79499,0.483
210000,0,0.489651,-243.938,0.427701,0.346733
211000,2,-6.08103,-235.747,1.41326,0.495923
212000,1,-2.42892,-230.768,0.745835,0.428
213000,1,0.657461,-232.937,0.558493,0.48275
214000,1,0.393231,-237.447,0.601648,0.473
