generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Balaena_mysticetus,Physeter_catodon,0,0.032,0,0.005,0
1000,Balaena_mysticetus,Physeter_catodon,0,0.0814251,0.0769652,0.0325743,0
1000,Platanista_gangetica,Platanista_minor,23.5693,0.359944,-0.00161012,0.46877,0
2000,Balaena_mysticetus,Physeter_catodon,0,0.111192,-0.0034179,0.0200318,0
3000,Balaena_mysticetus,Physeter_catodon,0,0.183793,-0.00587665,0.0644503,0
4000,Balaena_mysticetus,Physeter_catodon,0,0.204911,-0.0399976,0.0204921,0
4000,Delphinapterus_leucas,Orcinus_orca,16.4525,0.817303,-0.0726378,0.131727,0
5000,Balaena_mysticetus,Physeter_catodon,0,0.339088,-0.0547204,0.0397154,0
5000,Orcinus_orca,Orcaella_brevirostris,19.7127,0.230855,-0.0100612,0.0305483,0
6000,Balaena_mysticetus,Physeter_catodon,0,0.200144,-0.035697,0.00219609,0
6000,Orcinus_orca,Orcaella_brevirostris,25.0125,0.157314,0.030565,0.00717683,0
7000,Balaena_mysticetus,Physeter_catodon,0,0.186097,-0.0340962,0.0164784,0
7000,Orcinus_orca,Orcaella_brevirostris,24.2965,0.364957,-0.0580351,0.0292392,0
8000,Balaena_mysticetus,Physeter_catodon,0,0.175339,-0.0254027,0.0310659,0
8000,Orcinus_orca,Orcaella_brevirostris,25.1142,0.405433,-0.0418624,0.105093,0
9000,Balaena_mysticetus,Physeter_catodon,0,0.239772,-0.0384325,0.00688235,0
9000,Orcinus_orca,Orcaella_brevirostris,21.0209,0.299789,-0.0074838,0.136401,0
10000,Balaena_mysticetus,Physeter_catodon,0,0.238851,-0.0407301,0.0296381,0
10000,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.0256,0.681321,-0.106632,0.249844,0
11000,Balaena_mysticetus,Physeter_catodon,0,0.113773,-0.022498,0.0103371,0
11000,Delphinapterus_leucas,Orcinus_orca,14.1216,0.328976,-0.0427095,0.0178911,0
12000,Balaena_mysticetus,Physeter_catodon,0,0.159429,-0.0252057,0.00512142,0
12000,Orcinus_orca,Orcaella_brevirostris,23.2071,0.454738,-0.0501886,0.0348466,0
13000,Balaena_mysticetus,Physeter_catodon,0,0.18542,-0.031371,0.0513679,0
13000,Orcinus_orca,Orcaella_brevirostris,22.7846,0.737869,-0.0857236,0.0943852,0
14000,Balaena_mysticetus,Physeter_catodon,0,0.22385,-0.0354614,0.0277427,0
14000,Lipotes_vexillifer,NA,35.5576,1.24396,0.0553416,0.102814,0
14000,Orcinus_orca,Orcaella_brevirostris,22.9254,0.47211,-0.0851151,0.0890708,0
15000,Balaena_mysticetus,Physeter_catodon,0,0.255552,-0.0400254,0.0140557,0
15000,Orcinus_orca,Orcaella_brevirostris,23.8254,0.53414,-0.100677,0.0511379,0
16000,Balaena_mysticetus,Physeter_catodon,0,0.276791,-0.0456698,0.0585433,0
16000,Orcinus_orca,Orcaella_brevirostris,24.4129,0.659118,-0.0999248,0.247442,0
17000,Balaena_mysticetus,Physeter_catodon,0,0.218343,-0.0370215,0.00763681,0
17000,Balaena_mysticetus,Eubalaena_australis,22.0112,0.20669,0.0775936,0.514835,0
17000,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.0717,0.524979,-0.11224,0.203595,0
18000,Balaena_mysticetus,Physeter_catodon,0,0.279761,-0.0434504,0.01372,0
18000,Tasmacetus_shepherdi,NA,34.0215,0.276003,-0.0294305,2.13745,0
