generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-320.928,1,0
1000,1,-0.212658,-280.326,0.400409,0.381
2000,0,0.501784,-278.546,0.522512,0.399
3000,0,-0.0202905,-280.103,0.922995,0.327557
4000,1,-2.81076,-269.44,2.57683,0.362159
5000,1,0.579322,-270.476,0.477072,0.360333
6000,1,0.792399,-268.112,0.714781,0.516
7000,1,0.0714827,-265.814,0.74133,0.469
8000,1,0.430665,-267.737,0.688562,0.487
9000,1,0.397737,-270.494,0.928517,0.47
10000,1,-4.69398,-267.423,3.20415,0.449
11000,1,0.261803,-269.13,1.11688,0.465875
12000,1,-0.596138,-266.499,1.62687,0.467
13000,1,-1.47962,-269.8,1.05975,0.443
14000,2,-3.73222,-268.108,2.73329,0.45775
15000,1,-1.75099,-266.236,0.864234,0.476
16000,1,-2.17361,-270.87,0.83329,0.48
17000,2,-3.29882,-268.173,1.09846,0.479
18000,2,-4.58848,-266.515,1.77441,0.432
19000,1,-3.07383,-265.453,0.975366,0.516
20000,1,-0.313516,-272.698,0.284687,0.461327
21000,1,1.45425,-267.016,0.320175,0.472
22000,1,1.30505,-267.864,0.205245,0.476389
23000,1,0.52189,-269.678,1.31965,0.4915
24000,1,-2.38122,-267.61,3.39825,0.4734
25000,1,0.0694637,-271.276,0.523984,0.487875
26000,2,-3.1099,-265.859,1.66077,0.46
27000,1,-0.408656,-271.079,1.39354,0.466333
28000,1,0.0984688,-272.428,0.83766,0.445
29000,1,1.04011,-269.19,0.308257,0.493714
30000,1,-2.05221,-270.297,1.23384,0.478857
31000,1,0.457774,-269.346,0.379744,0.489
32000,1,0.968703,-274.183,0.366225,0.472
33000,1,0.766567,-270.176,0.766831,0.483
34000,1,1.02919,-268.222,0.729482,0.502
35000,1,-1.28441,-270.862,2.10734,0.474
36000,0,0.674055,-278.45,0.181911,0.4346
37000,0,0.73059,-280.527,0.103343,0.343
38000,0,0.0972549,-280.344,0.594361,0.31
39000,0,0.230857,-278.52,0.678894,0.314
40000,0,0.901988,-279.015,0.0701376,0.335
41000,0,-0.691351,-280.377,1.70587,0.294
42000,2,0.647344,-269.597,0.768609,0.485385
43000,1,0.931719,-265.618,0.125617,0.485
44000,1,-1.35759,-265.421,0.257441,0.467
45000,1,-1.14773,-265.553,1.86707,0.4782
46000,1,-1.33079,-268.737,0.571293,0.4834
47000,1,-6.62473,-267.285,1.86389,0.461
48000,1,0.982738,-270.727,0.57986,0.481333
49000,0,-1.11461,-278.395,1.6807,0.38
50000,1,-2.69193,-266.229,2.17014,0.483167
51000,2,-5.57186,-269.972,0.812057,0.46
52000,1,0.870305,-266.975,0.337642,0.477
53000,0,0.0689313,-279.205,0.642707,0.331667
54000,0,0.630106,-278.201,0.316083,0.28
