generation,leftchild,rightchild,abstime,betainit,betashift
0,Balaena_mysticetus,Physeter_catodon,0,0.5,0
10000,Balaena_mysticetus,Physeter_catodon,0,0.187894,0
10000,Balaena_mysticetus,Eubalaena_australis,11.3927,1.61669,0.0345271
10000,Eschrichtius_robustus,Balaenoptera_acutorostrata,11.1229,4.33184,0.0445893
10000,Neophocaena_phocaenoides,Phocoena_sinus,22.1822,0.100405,-0.0629904
10000,Orcaella_brevirostris,NA,31.8765,0.413727,-0.0452342
20000,Balaena_mysticetus,Physeter_catodon,0,1.45282,0.00373451
20000,Indopacetus_pacificus,Hyperoodon_ampullatus,21.7395,0.0661051,-0.0939058
20000,Mesoplodon_mirus,NA,33.9267,0.814397,0.0341365
20000,Tasmacetus_shepherdi,Berardius_arnuxii,7.94669,0.684257,-0.0757989
20000,Lagenorhynchus_albirostris,Lagenorhynchus_acutus,27.034,0.222106,-0.0127144
30000,Balaena_mysticetus,Physeter_catodon,0,0.208223,0.0446765
30000,Caperea_marginata,Eschrichtius_robustus,9.63296,1.98533,0.0378583
30000,Lagenorhynchus_acutus,Steno_bredanensis,27.6921,0.0395407,0.0788778
40000,Balaena_mysticetus,Physeter_catodon,0,0.197006,-0.00785937
40000,Caperea_marginata,NA,16.1824,0.167825,0.0130581
40000,Balaena_mysticetus,Caperea_marginata,2.82905,2.19637,0.0780598
40000,Physeter_catodon,NA,27.0384,1.62833,-0.0340688
40000,Cephalorhynchus_hectori,Cephalorhynchus_commersonii,31.3734,0.469197,0.00673087
50000,Balaena_mysticetus,Physeter_catodon,0,0.24208,-0.00849181
50000,Balaena_mysticetus,Caperea_marginata,2.23486,3.46648,0.0357134
60000,Balaena_mysticetus,Physeter_catodon,0,1.09641,-0.0551893
60000,Balaena_mysticetus,Caperea_marginata,3.32534,1.03861,0.0455606
60000,Berardius_bairdii,NA,32.2033,0.9249,0.0031066
60000,Pseudorca_crassidens,NA,32.0858,1.10493,0.0805292
60000,Lagenorhynchus_albirostris,Lagenorhynchus_acutus,27.0986,0.0341146,-0.0201144
60000,Orcinus_orca,Orcaella_brevirostris,24.4209,0.826958,-0.0121765
70000,Balaena_mysticetus,Physeter_catodon,0,0.0993455,-0.00849181
70000,Eubalaena_australis,Eubalaena_glacialis,27.0959,0.0612132,0.0535306
70000,Berardius_bairdii,NA,31.6532,0.743472,-0.118212
70000,Balaena_mysticetus,Caperea_marginata,0.36563,1.0176,0.0357134
70000,Physeter_catodon,NA,24.3861,1.1651,0.0300323
70000,Platanista_gangetica,Platanista_minor,10.3474,0.237153,-0.0337664
70000,Platanista_gangetica,Platanista_minor,13.6776,0.331389,-0.0411444
