generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-266.902,1,0
5000,2,1.62253,-231.997,1.71503,0.223755
10000,4,0.129918,-183.544,1.76464,0.220478
15000,1,-0.154223,-214.35,0.676951,0.229118
20000,4,1.41336,-222.534,2.54999,0.2345
25000,2,1.79487,-185.301,1.39916,0.2261
30000,2,0.650116,-185.477,1.41698,0.2022
35000,2,0.590803,-190.222,1.83498,0.21275
40000,4,0.31962,-188.571,3.89929,0.216
45000,7,-2.68288,-184.096,5.81063,0.22596
50000,1,0.0204423,-195.502,0.155073,0.2089
55000,3,1.38826,-176.627,2.12468,0.213044
60000,5,1.90726,-175.569,3.09376,0.209933
65000,7,-0.375313,-164.01,7.82631,0.200086
70000,12,2.53563,-130.184,2.94048,0.1831
75000,5,4.12934,-187.638,2.86249,0.21745
80000,3,1.78648,-190.13,1.89243,0.2164
85000,11,-8.34809,-161.891,6.08905,0.193067
90000,3,2.98691,-191.292,0.727215,0.21568
95000,7,-5.68439,-160.977,5.67143,0.2018
100000,7,-0.418197,-183.008,6.60325,0.2196
105000,9,1.81584,-184.016,6.99138,0.2168
110000,10,-5.95506,-176.914,5.9919,0.19644
115000,11,-3.20563,-150.894,10.5365,0.19572
120000,6,1.57677,-150.344,4.31587,0.2066
125000,10,2.71877,-146.579,5.30075,0.1982
130000,8,1.68488,-130.278,3.18477,0.197914
135000,8,-10.7933,-150.184,6.84365,0.2008
140000,10,-0.520416,-138.101,4.54718,0.1972
145000,13,2.09595,-152.359,5.06214,0.1878
150000,3,1.94217,-187.574,2.86122,0.211333
155000,7,-2.14273,-141.514,4.52528,0.1906
160000,7,0.272448,-160.09,4.16059,0.20048
165000,9,-2.72184,-160.709,2.96848,0.2005
170000,4,-5.89075,-178.698,2.3961,0.208
175000,5,-2.12664,-159.123,2.31318,0.206
180000,4,1.87596,-171.963,1.59182,0.210333
185000,3,2.34865,-163.962,0.728898,0.202767
190000,6,-4.38014,-181.956,5.15102,0.2122
195000,8,-2.39162,-147.56,4.74072,0.204571
200000,4,0.879491,-174.324,2.16076,0.2111
205000,12,-4.13382,-153.448,6.04952,0.202
210000,6,-2.75452,-145.835,3.6849,0.183
215000,8,3.02149,-143.198,6.1013,0.1926
220000,7,1.98251,-158.214,5.48154,0.1998
225000,11,1.72934,-141.154,6.38877,0.1842
230000,7,6.8336,-155.886,2.36683,0.1968
235000,6,-6.35759,-196.953,3.08251,0.223356
240000,7,-1.89237,-149.619,3.82443,0.197091
245000,5,-0.627289,-164.411,3.1441,0.205156
250000,8,1.28228,-155.001,4.57921,0.1901
255000,11,-3.86677,-137.429,9.31971,0.2085
260000,10,6.59301,-148.84,3.32652,0.1974
265000,5,0.730658,-144.604,1.25193,0.2049
270000,6,-4.98901,-150.805,2.97631,0.1886
275000,7,-2.19892,-142.764,7.99498,0.200511
280000,12,-3.76944,-161.023,7.5555,0.185
285000,10,6.04683,-154.801,3.68069,0.1973
290000,8,-3.69819,-159.362,5.66823,0.1966
295000,6,0.648207,-160.661,3.27876,0.1946
300000,12,5.06327,-135.68,5.83623,0.1836
305000,10,-3.35171,-138.728,5.77912,0.1963
310000,6,-1.5596,-144.971,1.85933,0.1826
315000,8,1.8461,-144.873,4.09196,0.1868
320000,10,0.988254,-143.347,4.26256,0.1892
325000,11,-8.33632,-145.16,6.29053,0.193
330000,5,-4.12596,-146.824,2.96216,0.2068
335000,8,-1.35613,-161.962,5.39038,0.1999
340000,6,0.384568,-161.332,2.43252,0.199044
345000,9,-0.829361,-144.997,4.33883,0.1998
350000,10,6.64782,-143.431,4.52558,0.1951
355000,6,-0.755758,-141.785,2.99285,0.2006
360000,8,0.150855,-150.247,3.97106,0.2116
365000,8,-0.3405,-154.475,3.15373,0.195156
370000,7,-9.33544,-162.592,7.69478,0.207914
375000,7,6.12134,-145.349,1.65575,0.196
380000,11,-5.36834,-141.445,7.47724,0.1726
385000,8,-2.27567,-141.84,4.58563,0.1908
390000,7,-2.43774,-147.304,3.11764,0.1869
395000,7,0.0490858,-134.779,3.54309,0.18932
400000,7,4.43665,-144.497,2.33502,0.185067
405000,9,-0.809979,-157.747,3.73332,0.1966
410000,8,-12.6329,-158.277,5.71174,0.2018
